study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	timeraw	mean_unit	value_unit
Urva2021		normal	13.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_normal	0.0	hr		2.361819882211443e-20					0.0	mole/meter^3	ng/ml
Urva2021		normal	13.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_normal	8.0	hr		4.80204101864614e-05	309.83606557377	1.6347373680497272e-05	4.533945694169493e-06		7.94117647058826	mole/meter^3	ng/ml
Urva2021		normal	13.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_normal	12.0	hr		5.959979987681361e-05	376.229508196721	1.856108053306484e-05	5.147917506921682e-06		11.6470588235294	mole/meter^3	ng/ml
Urva2021		normal	13.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_normal	24.0	hr		6.777348671706235e-05	413.934426229508	1.8220510248054493e-05	5.0534603049598145e-06		23.8235294117647	mole/meter^3	ng/ml
Urva2021		normal	13.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_normal	48.0	hr		6.862491242958832e-05	407.377049180328	1.6006803395487132e-05	4.439488492207689e-06		47.6470588235294	mole/meter^3	ng/ml
Urva2021		normal	13.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_normal	72.0	hr		6.538949472198992e-05	378.688524590164	1.3282241115404151e-05	3.6838308765127522e-06		72.0	mole/meter^3	ng/ml
Urva2021		normal	13.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_normal	96.0	hr		6.317578786942258e-05	335.245901639344	6.470835415196798e-06	1.7946868372754138e-06		96.3529411764706	mole/meter^3	ng/ml
Urva2021		normal	13.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_normal	168.0	hr		4.47849924788628e-05	252.459016393443	7.662831412733323e-06	2.125287044142019e-06		168.882352941177	mole/meter^3	ng/ml
Urva2021		normal	13.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_normal	336.0	hr		1.7369084535528564e-05	112.295081967213	5.9599799876813415e-06	1.653001034332638e-06		337.235294117647	mole/meter^3	ng/ml
Urva2021		normal	13.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_normal	648.0	hr		2.554277137577747e-06	38.5245901639345	5.4491245601658205e-06	1.5113152313898479e-06		651.176470588235	mole/meter^3	ng/ml
