study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	timeraw	mean_unit	value_unit
Urva2021		moderate	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_moderate	0.0	hr		2.361819882211443e-20				.	1.4210854715202e-14	mole/meter^3	ng/ml
Urva2021		moderate	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_moderate	8.0	hr		4.3592996481326476e-05	309.016393442623	2.060450224312713e-05	7.284791629544303e-06		7.94117647058826	mole/meter^3	ng/ml
Urva2021		moderate	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_moderate	12.0	hr		6.0280940446834305e-05	376.229508196721	1.7879939963044146e-05	6.3215133975384366e-06		12.1764705882353	mole/meter^3	ng/ml
Urva2021		moderate	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_moderate	24.0	hr		6.641120557702097e-05	458.196721311475	2.877818908337566e-05	1.0174626325561798e-05		23.2941176470588	mole/meter^3	ng/ml
Urva2021		moderate	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_moderate	48.0	hr		7.237118556470235e-05	434.426229508197	1.7879939963044167e-05	6.3215133975384366e-06		47.6470588235294	mole/meter^3	ng/ml
Urva2021		moderate	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_moderate	72.0	hr		6.947633814211431e-05	421.311475409836	1.8050225105549216e-05	6.381718287038755e-06		72.0	mole/meter^3	ng/ml
Urva2021		moderate	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_moderate	96.0	hr		7.254147070720742e-05	454.918032786885	2.1966783383168518e-05	7.766430745547226e-06		96.3529411764706	mole/meter^3	ng/ml
Urva2021		moderate	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_moderate	168.0	hr		5.636438216921522e-05	345.081967213115	1.5325662825466442e-05	5.418440055032951e-06		168.882352941177	mole/meter^3	ng/ml
Urva2021		moderate	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_moderate	336.0	hr		2.4350775378240945e-05	153.27868852459	7.492546270228047e-06	2.649015138016116e-06		337.235294117647	mole/meter^3	ng/ml
Urva2021		moderate	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_moderate	648.0	hr		5.78969484517621e-06	27.8688524590165	0.0	0.0		651.176470588235	mole/meter^3	ng/ml
