study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	timeraw	mean_unit	value_unit
Urva2021		end	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_end	0.0	hr		0.0				.	1.4210854715202e-14	mole/meter^3	ng/ml
Urva2021		end	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_end	8.0	hr		6.0280940446834305e-05	340.163934426229	1.03873936928161e-05	3.672498259522321e-06		6.35294117647061	mole/meter^3	ng/ml
Urva2021		end	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_end	12.0	hr		6.436778386695868e-05	459.016393442623	3.099189593594323e-05	1.0957289889066624e-05		12.1764705882353	mole/meter^3	ng/ml
Urva2021		end	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_end	24.0	hr		7.083861928215568e-05	421.311475409836	1.668794396550783e-05	5.900079171035853e-06		23.8235294117647	mole/meter^3	ng/ml
Urva2021		end	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_end	48.0	hr		7.169004499468166e-05	385.245901639344	8.34397198275381e-06	2.950039585517896e-06		48.1764705882353	mole/meter^3	ng/ml
Urva2021		end	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_end	72.0	hr		6.538949472198992e-05	366.393442622951	1.0727963977826446e-05	3.7929080385230414e-06		72.0	mole/meter^3	ng/ml
Urva2021		end	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_end	96.0	hr		6.35163581544329e-05	282.786885245902	4.767983990145064e-06	1.6857369060102333e-06		95.8235294117647	mole/meter^3	ng/ml
Urva2021		end	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_end	168.0	hr		4.495527762136807e-05	117.213114754098	2.060450224312713e-05	7.284791629544303e-06		168.352941176471	mole/meter^3	ng/ml
Urva2021		end	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_end	336.0	hr		1.9923361673106312e-05	95.9016393442624	0.0	0.0		337.764705882353	mole/meter^3	ng/ml
Urva2021		end	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_end	648.0	hr		5.108554275155474e-06	24.5901639344263	0.0	0.0		650.647058823529	mole/meter^3	ng/ml
