study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	timeraw	mean_unit	value_unit
Urva2021		mild	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_mild	0.0	hr		0.0				.	1.4210854715202e-14	mole/meter^3	ng/ml
Urva2021		mild	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_mild	8.0	hr		5.312896446161681e-05	339.344262295082	1.736908453552852e-05	6.140898729037315e-06		7.94117647058826	mole/meter^3	ng/ml
Urva2021		mild	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_mild	12.0	hr		5.8748374164287844e-05	456.55737704918	3.610045021109843e-05	1.276343657407751e-05		12.1764705882353	mole/meter^3	ng/ml
Urva2021		mild	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_mild	24.0	hr		6.845462728708304e-05	454.098360655738	2.588334166078782e-05	9.151143204055675e-06		23.8235294117647	mole/meter^3	ng/ml
Urva2021		mild	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_mild	48.0	hr		7.782031012486811e-05	435.245901639344	1.2601100545383458e-05	4.455161823027065e-06		48.1764705882353	mole/meter^3	ng/ml
Urva2021		mild	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_mild	72.0	hr		6.777348671706235e-05	395.901639344262	1.4474237112940469e-05	5.11741560753111e-06		72.5294117647059	mole/meter^3	ng/ml
Urva2021		mild	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_mild	96.0	hr		6.845462728708304e-05	385.245901639344	1.157938969035242e-05	4.093932486024904e-06		96.3529411764706	mole/meter^3	ng/ml
Urva2021		mild	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_mild	168.0	hr		4.648784390391474e-05	345.081967213115	2.5202201090766916e-05	8.910323646054153e-06		168.352941176471	mole/meter^3	ng/ml
Urva2021		mild	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_mild	336.0	hr		1.770965482053893e-05	154.098360655738	1.4303951970435337e-05	5.05721071803075e-06		336.705882352941	mole/meter^3	ng/ml
Urva2021		mild	8.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_mild	648.0	hr		2.8948474225881145e-06	38.5245901639345	5.1085542751554525e-06	1.8061466850109742e-06		650.647058823529	mole/meter^3	ng/ml
