study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	timeraw	mean_unit	value_unit
Feng2023		cohort2	10.0	TIR2_5_four, TIR5_four, TIR7_5_four, TIR10_four, TIR12_5_four, TIR15_three	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_15_cohort2	0.0	hr		0.0002800065337571951	1644.69401041667	6.16751500510956e-05	1.9503394919411236e-05	.	0.0	mole/meter^3	ng/ml
Feng2023		cohort2	10.0	TIR2_5_four, TIR5_four, TIR7_5_four, TIR10_four, TIR12_5_four, TIR15_three	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_15_cohort2	8.0	hr		0.0005265211617437692	2925.048828125	8.115151322512578e-05	2.566236173606734e-05		7.29166666666666	mole/meter^3	ng/ml
Feng2023		cohort2	10.0	TIR2_5_four, TIR5_four, TIR7_5_four, TIR10_four, TIR12_5_four, TIR15_three	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_15_cohort2	24.0	hr		0.0006218910963485465	3548.17708333333	0.0001152351487796786	3.6440553665215756e-05		24.0625	mole/meter^3	ng/ml
Feng2023		cohort2	10.0	TIR2_5_four, TIR5_four, TIR7_5_four, TIR10_four, TIR12_5_four, TIR15_three	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_15_cohort2	48.0	hr		0.0005385755427707522	3053.38541666667	9.575878560564842e-05	3.0281586848559484e-05		47.3958333333333	mole/meter^3	ng/ml
Feng2023		cohort2	10.0	TIR2_5_four, TIR5_four, TIR7_5_four, TIR10_four, TIR12_5_four, TIR15_three	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_15_cohort2	72.0	hr		0.0004893267181822539	2761.63736979167	8.43975737541308e-05	2.6688856205510008e-05		71.4583333333333	mole/meter^3	ng/ml
Feng2023		cohort2	10.0	TIR2_5_four, TIR5_four, TIR7_5_four, TIR10_four, TIR12_5_four, TIR15_three	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_15_cohort2	168.0	hr		0.0002923483263935156	1610.27018229167	4.218188031181086e-05	1.3339081777393582e-05		166.979166666667	mole/meter^3	ng/ml
Feng2023		cohort2	10.0	TIR2_5_four, TIR5_four, TIR7_5_four, TIR10_four, TIR12_5_four, TIR15_three	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_15_cohort2	335.89928057554	hr		0.00010828655045977803	622.802734375004	2.10993934385327e-05	6.672214051377525e-06		335.416666666667	mole/meter^3	ng/ml
Feng2023		cohort2	10.0	TIR2_5_four, TIR5_four, TIR7_5_four, TIR10_four, TIR12_5_four, TIR15_three	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_15_cohort2	840.0	hr		8.622348280190388e-07	11.96289062501	1.6230302645025155e-06	5.132472347213488e-07		838.541666666667	mole/meter^3	ng/ml
