study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	timeraw	mean_unit	value_unit
Feng2023		cohort1	10.0	TIR2_5_four, TIR5_four, TIR7_5_four, TIR10_three	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_10_cohort1	0.0	hr		0.00020634417200594138	1182.43243243243	3.930365181065506e-05	1.2428906008387094e-05	.	0.0	mole/meter^3	ng/ml
Feng2023		cohort1	10.0	TIR2_5_four, TIR5_four, TIR7_5_four, TIR10_three	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_10_cohort1	8.0	hr		0.0004098809403111211	2310.81081081081	7.018509251902814e-05	2.2194475014977376e-05		7.48201438848923	mole/meter^3	ng/ml
Feng2023		cohort1	10.0	TIR2_5_four, TIR5_four, TIR7_5_four, TIR10_three	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_10_cohort1	24.0	hr		0.00045760680322406007	2547.2972972973	7.158879436940938e-05	2.2638364515277052e-05		23.3093525179856	mole/meter^3	ng/ml
Feng2023		cohort1	10.0	TIR2_5_four, TIR5_four, TIR7_5_four, TIR10_three	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_10_cohort1	48.0	hr		0.0004000550273584588	2263.51351351351	7.018509251902608e-05	2.2194475014976756e-05		46.2589928057554	mole/meter^3	ng/ml
Feng2023		cohort1	10.0	TIR2_5_four, TIR5_four, TIR7_5_four, TIR10_three	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_10_cohort1	72.0	hr		0.000353732866295899	1972.97297297297	5.61480740152221e-05	1.7755580011981754e-05		70.7913669064748	mole/meter^3	ng/ml
Feng2023		cohort1	10.0	TIR2_5_four, TIR5_four, TIR7_5_four, TIR10_three	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_10_cohort1	168.0	hr		0.00023020710346241123	1277.02702702703	3.509254625951407e-05	1.1097237507488688e-05		166.546762589928	mole/meter^3	ng/ml
Feng2023		cohort1	10.0	TIR2_5_four, TIR5_four, TIR7_5_four, TIR10_three	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_10_cohort1	335.89928057554	hr		8.983691842435557e-05	547.297297297298	2.3862931456469446e-05	7.546121505092253e-06		335.89928057554	mole/meter^3	ng/ml
Feng2023		cohort1	10.0	TIR2_5_four, TIR5_four, TIR7_5_four, TIR10_three	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_10_cohort1	840.0	hr		9.825912952663919e-06	74.3243243243246	5.614807401522231e-06	1.7755580011981818e-06		840.791366906475	mole/meter^3	ng/ml
