study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	timeraw	mean_unit	value_unit
Coskun2018		sad	56.0	TIR_sad5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad5	0.0	hr	5.0	0.0				EMA	0.0	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad5	8.0	hr	5.0	5.754583963291927e-05	416.284167096441	2.8936311001416215e-05	3.866777207301319e-06	EMA	8.49097472924186	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad5	12.0	hr	5.0	7.872642643692743e-05	493.237493553378	2.3742614155008165e-05	3.172740272657492e-06	EMA	24.2599277978339	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad5	24.0	hr	5.0	7.84076796990612e-05	438.131768953068	1.2613263769847972e-05	1.685518269849279e-06	EMA	47.913357400722	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad5	48.0	hr	5.0	7.512244546382684e-05	416.967509025271	1.1501668003339964e-05	1.5369750373185172e-06	EMA	72.1732851985559	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad5	72.0	hr	5.0	7.035329784390448e-05	361.861784424961	4.822718500235898e-06	6.444628678835353e-07	EMA	96.4332129963899	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad5	96.0	hr	5.0	6.15020491440821e-05	329.976792160908	7.049927849276009e-06	9.420862361952472e-07	EMA	120.086642599278	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad5	168.0	hr	5.0	4.677005705782932e-05	257.265342960289	6.676270959088211e-06	8.921542339348839e-07	EMA	168.606498194946	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad5	336.0	hr	5.0	1.820606367459283e-05	100.128932439402	2.5955091511962434e-06	3.4683949957188566e-07	EMA	337.212996389892	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad5	672.0	hr	5.0	4.85084321240072e-06	25.1353790613719	3.7097834617200654e-07	4.957406676027391e-08	EMA	673.212996389892	mole/meter^3	ng/ml
