study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	timeraw	mean_unit	value_unit
Coskun2018		sad	56.0	TIR_sad0_5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad0_5	0.0	hr	0.5	0.0				EMA	0.0	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad0_5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad0_5	8.0	hr	0.5	8.20571959204286e-06	53.7777204744716	2.9664874973682084e-06	3.964135663321531e-07	EMA	8.49097472924186	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad0_5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad0_5	12.0	hr	0.5	1.1579345779794753e-05	80.7374935533781	5.19369684640805e-06	6.940369346438276e-07	EMA	24.2599277978339	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad0_5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad0_5	24.0	hr	0.5	1.1632916660108379e-05	75.6317689530686	4.079422535884207e-06	5.451357666129722e-07	EMA	48.5198555956679	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad0_5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad0_5	48.0	hr	0.5	1.0943191576070208e-05	65.1753481175863	2.596848423203983e-06	3.470184673219076e-07	EMA	72.1732851985559	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad0_5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad0_5	72.0	hr	0.5	9.140531453515977e-06	52.93321299639	1.8562310028678764e-06	2.4804930155140707e-07	EMA	95.826714801444	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad0_5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad0_5	96.0	hr	0.5	8.082506567321447e-06	46.0417741103661	1.4825741126801616e-06	1.981172992910552e-07	EMA	120.693140794224	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad0_5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad0_5	168.0	hr	0.5	6.332078053073038e-06	34.0575038679731	7.43295964351836e-07	9.932710127058226e-08	EMA	168.0	mole/meter^3	ng/ml
Coskun2018		sad	56.0	TIR_sad0_5	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_sad0_5	336.0	hr	0.5	2.9946122095328848e-06	19.7588963383189	1.110256494500332e-06	1.4836426478074666e-07	EMA	336.606498194946	mole/meter^3	ng/ml
