study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	timeraw	mean_unit	value_unit
Urva2022		severe	7.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_severe	0.0	hr		0.0				.	0.0	mole/meter^3	ng/ml
Urva2022		severe	7.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_severe	8.0	hr		7.981891995532382e-05	459.649122807018	1.567220802775761e-05	5.9235378481023785e-06		4.12631578947372	mole/meter^3	ng/ml
Urva2022		severe	7.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_severe	12.0	hr		0.00010423840688229504	557.894736842106	1.1663038532284746e-05	4.408214212541323e-06		8.78596491228078	mole/meter^3	ng/ml
Urva2022		severe	7.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_severe	24.0	hr		0.0001082475763777679	624.561403508772	2.1503727293899876e-05	8.127644954373e-06		19.8315789473685	mole/meter^3	ng/ml
Urva2022		severe	7.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_severe	48.0	hr		6.888482133130674e-05	435.087719298246	2.1503727293900086e-05	8.127644954373083e-06		45.3473684210527	mole/meter^3	ng/ml
Urva2022		severe	7.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_severe	72.0	hr		6.451118188170004e-05	380.701754385965	1.4578798165355883e-05	5.510267765676623e-06		68.7157894736842	mole/meter^3	ng/ml
Urva2022		severe	7.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_severe	96.0	hr		5.3941553211817024e-05	350.877192982456	1.8952437614962585e-05	7.163348095379584e-06		93.9228070175439	mole/meter^3	ng/ml
Urva2022		severe	7.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_severe	168.0	hr		3.46246456427204e-05	205.263157894737	8.018338990945725e-06	3.030647271122132e-06		165.066666666667	mole/meter^3	ng/ml
Urva2022		severe	7.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_severe	336.0	hr		1.3120918348820356e-05	107.017543859649	9.11174885334741e-06	3.4439173535478867e-06		331.494736842105	mole/meter^3	ng/ml
Urva2022		severe	7.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_severe	672.0	hr		1.8223497706694968e-06					665.529824561403	mole/meter^3	ng/ml
