study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	timeraw	mean_unit	value_unit
Urva2022		mild	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_mild	0.0	hr		0.0				.	0.800000000000011	mole/meter^3	ng/ml
Urva2022		mild	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_mild	8.0	hr		8.164126972599322e-05	489.473684210527	2.004584747736452e-05	8.183682963533412e-06		3.25614035087725	mole/meter^3	ng/ml
Urva2022		mild	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_mild	12.0	hr		9.257536835001031e-05	556.140350877193	2.2961607110435447e-05	9.374036849138148e-06		9.23508771929832	mole/meter^3	ng/ml
Urva2022		mild	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_mild	24.0	hr		0.00010715416651536616	670.175438596492	3.207335596378311e-05	1.3093892741653407e-05		19.8736842105264	mole/meter^3	ng/ml
Urva2022		mild	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_mild	48.0	hr		8.127679977185937e-05	438.596491228071	9.840688761615339e-06	4.017444363916418e-06		44.8701754385965	mole/meter^3	ng/ml
Urva2022		mild	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_mild	72.0	hr		7.36229307350475e-05	392.982456140351	8.018338990945725e-06	3.2734731854133365e-06		69.1649122807018	mole/meter^3	ng/ml
Urva2022		mild	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_mild	96.0	hr		6.524012178996772e-05	364.912280701755	1.0569628669883226e-05	4.315032835317658e-06		93.4877192982457	mole/meter^3	ng/ml
Urva2022		mild	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_mild	168.0	hr		5.139026353287973e-05	287.719298245614	8.382808945079563e-06	3.4222674211139146e-06		164.421052631579	mole/meter^3	ng/ml
Urva2022		mild	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_mild	336.0	hr		2.3690547018703333e-05	140.350877192983	5.467049312008638e-06	2.23191353550916e-06		332.687719298245	mole/meter^3	ng/ml
Urva2022		mild	6.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_mild	672.0	hr		3.280229587205099e-06					666.273684210526	mole/meter^3	ng/ml
