study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	timeraw	mean_unit	value_unit
Urva2022		normal	13.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_normal	0.0	hr		0.0					0.785964912280718	mole/meter^3	ng/ml
Urva2022		normal	13.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_normal	8.0	hr		8.346361949666284e-05	512.280701754386	2.2961607110435447e-05	6.368403984902568e-06		4.78596491228078	mole/meter^3	ng/ml
Urva2022		normal	13.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_normal	12.0	hr		0.00010350946697402716	701.754385964913	4.227851467953228e-05	1.1725950194423901e-05		8.81403508771939	mole/meter^3	ng/ml
Urva2022		normal	13.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_normal	24.0	hr		9.986476743268814e-05	761.40350877193	5.8315192661423734e-05	1.6173724406101886e-05		20.1543859649124	mole/meter^3	ng/ml
Urva2022		normal	13.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_normal	48.0	hr		7.79965701846542e-05	436.842105263158	1.2756448394686474e-05	3.538002213834803e-06		44.9964912280702	mole/meter^3	ng/ml
Urva2022		normal	13.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_normal	72.0	hr		6.633353165236947e-05	382.456140350877	1.3120918348820315e-05	3.6390879913729166e-06		68.6456140350877	mole/meter^3	ng/ml
Urva2022		normal	13.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_normal	96.0	hr		6.268883211103064e-05	350.877192982456	1.0205158715748973e-05	2.8304017710677845e-06		92.7859649122808	mole/meter^3	ng/ml
Urva2022		normal	13.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_normal	168.0	hr		3.936275504646094e-05	261.40350877193	1.4943268119489929e-05	4.144516879063647e-06		164.884210526316	mole/meter^3	ng/ml
Urva2022		normal	13.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_normal	336.0	hr		1.6765617890159336e-05	107.017543859649	5.467049312008429e-06	1.5162866630720406e-06		332.154385964912	mole/meter^3	ng/ml
Urva2022		normal	13.0	TIR5_one	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_normal	672.0	hr		2.551289678937295e-06					664.701754385965	mole/meter^3	ng/ml
