study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_se	mean_sd	comments	timeraw	mean_unit	value_unit
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	24.0	hr		0.0					23.2258064516129	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	48.0	hr		0.383651738177264					47.2258064516129	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	72.0	hr		1.21359223300971					72.0	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	96.0	hr		2.51957406827435	3.78170999060444	1.26213592233009	3.09158899574574		95.2258064516129	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	120.0	hr		4.22330097087378	5.58252427184465	1.35922330097087	3.32940353388004		120.0	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	144.0	hr		5.52928280613841	7.08268086439084	1.55339805825243	3.80503261014863		143.225806451613	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	168.0	hr		7.33009708737862	8.68462261196366	1.35452552458504	3.31789637880906		168.0	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	192.0	hr		9.21860319448793	10.8690886313811	1.65048543689317	4.04284714828283		191.225806451613	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	216.0	hr		11.0147196993423	12.5681177575947	1.5533980582524	3.80503261014856		215.225806451613	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	240.0	hr		12.5242718446602	14.4613216410899	1.9370497964297	4.74478360761479		240.0	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	264.0	hr		13.9273410585656	16.0632633886627	2.1359223300971	5.23191983895439		263.225806451613	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	288.0	hr		15.4368932038835	17.7622925148763	2.3253993109928	5.69604176015193		288.0	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	312.0	hr		17.3300970873786	19.6554963983714	2.3253993109928	5.69604176015193		312.0	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	336.0	hr		19.0291262135922	20.9661760100219	1.9370497964297	4.74478360761479		336.0	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	360.0	hr		20.8205449420607	22.3739430003131	1.5533980582524	3.80503261014856		359.225806451613	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	384.0	hr		22.5195740682743	23.9758847478859	1.4563106796116	3.56721807201421		383.225806451613	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	408.0	hr		24.3156905731287	25.8643908549952	1.5487002818665	3.79352545507741		407.225806451613	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	432.0	hr		25.8158471656749	27.9517694957719	2.135922330097	5.23191983895415		430.451612903226	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	456.0	hr		27.5195740682743	30.2333228938302	2.7137488255559	6.64729991268907		455.225806451613	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	480.0	hr		29.1168180394612	32.6166614469151	3.4998434074539	8.57283052790566		478.451612903226	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	504.0	hr		29.9467585342937	33.6313811462574	3.6846226119637	9.02544529403204		503.225806451613	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	528.0	hr		30.7673034763544	34.7478860006263	3.9805825242719	9.75039606350599		526.451612903226	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	552.0	hr		31.4954588161603	35.6702160977137	4.1747572815534	10.2260251397744		550.451612903226	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	576.0	hr		32.3207015346069	36.592546194801	4.27184466019411	10.4638396779086		574.451612903226	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	600.0	hr		33.0535546507985	37.5148762918884	4.4613216410899	10.9279615991063		599.225806451613	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	624.0	hr		33.6799248355777	38.2430316316942	4.5631067961165	11.1772832923116		622.451612903226	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	648.0	hr		34.3109927967428	38.7817099906044	4.4707171938616	10.9509759092484		646.451612903226	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	672.0	hr		34.9420607579078	39.4080801753836	4.46601941747581	10.9394687541775		670.451612903226	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	696.0	hr		35.4713435640463	39.844973379267	4.3736298152207	10.7131613711138		693.677419354839	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	720.0	hr		36.0100219229564	40.2818665831505	4.27184466019411	10.4638396779086		718.451612903226	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	744.0	hr		36.4469151268399	40.718759787034	4.27184466019411	10.4638396779086		742.451612903226	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	768.0	hr		36.9808957093641	41.1556529909175	4.1747572815534	10.2260251397744		766.451612903226	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	792.0	hr		37.4177889132476	41.4954588161602	4.0776699029126	9.98821060164009		790.451612903226	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	816.0	hr		37.7575947384903	41.9276542436579	4.1700595051676	10.2145179847035		814.451612903226	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	recovery_feces_TIRC14	840.0	hr		38.0927027873472	42.1750704666457	4.0823676792985	9.99971775671124		837.677419354839	percent	percent
