study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_se	mean_sd	comments	timeraw	mean_unit	value_unit
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	264.0	hr		8.390788930827687e-08		1.2868266361197495e-08	3.152068645915501e-08		263.225806451613	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	288.0	hr		9.30024705195631e-08		1.4009806119045597e-08	3.4316876386983184e-08		288.0	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	312.0	hr		1.0440843388516965e-07		1.4009806119045597e-08	3.4316876386983184e-08		312.0	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	336.0	hr		1.1464455485430413e-07		1.1670121326100654e-08	2.858584248531877e-08		336.0	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	360.0	hr		1.254372943830501e-07		9.358739171779778e-09	2.2924135606657653e-08		359.225806451613	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	384.0	hr		1.356734153521846e-07		8.77381797354339e-09	2.1491377131241185e-08		383.225806451613	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	408.0	hr		1.464944575195552e-07		9.330436533155108e-09	2.28548085836529e-08		407.225806451613	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	432.0	hr		1.5553243345359276e-07		1.2868266361196893e-08	3.1520686459153546e-08		430.451612903226	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	456.0	hr		1.6579685706135125e-07		1.634949091199054e-08	4.00479102886476e-08		455.225806451613	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	480.0	hr		1.7541975419362456e-07		2.1085465775129752e-08	5.164863213798614e-08		478.451612903226	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	504.0	hr		1.804198870172572e-07		2.219870289435314e-08	5.4375495042809354e-08		503.225806451613	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	528.0	hr		1.8536341456364077e-07		2.3981769127686417e-08	5.8743097492062264e-08		526.451612903226	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	552.0	hr		1.8975032355041304e-07		2.5151611524158693e-08	6.160861444289374e-08		550.451612903226	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	576.0	hr		1.9472215373542102e-07		2.5736532722394412e-08	6.304137291830875e-08		574.451612903226	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	600.0	hr		1.9913736536081694e-07		2.687807248024307e-08	6.583756284613819e-08		599.225806451613	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	624.0	hr		2.02911050510728e-07		2.7491296317103446e-08	6.733964834455817e-08		622.451612903226	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	648.0	hr		2.0671303829926393e-07		2.6934677757491753e-08	6.597621689214644e-08		646.451612903226	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	672.0	hr		2.1051502608780004e-07		2.690637511886772e-08	6.590688986914316e-08		670.451612903226	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	696.0	hr		2.1370379003947417e-07		2.634975655925478e-08	6.454345841672853e-08		693.677419354839	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	720.0	hr		2.1694915926839926e-07		2.5736532722394412e-08	6.304137291830875e-08		718.451612903226	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	744.0	hr		2.1958130466046209e-07		2.5736532722394412e-08	6.304137291830875e-08		742.451612903226	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	768.0	hr		2.2279837125076061e-07		2.5151611524158693e-08	6.160861444289374e-08		766.451612903226	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	792.0	hr		2.2543051664282343e-07		2.4566690325922136e-08	6.017585596747727e-08		790.451612903226	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	816.0	hr		2.2747774083665055e-07		2.5123308885534454e-08	6.153928741989023e-08		814.451612903226	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	840.0	hr		2.2949666239185322e-07		2.4594992964546788e-08	6.024518299048203e-08		837.677419354839	mole	mg
