study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_se	mean_sd	comments	timeraw	mean_unit	value_unit
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	24.0	hr		0.0		0.0	0.0		23.2258064516129	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	48.0	hr		2.3113821543206677e-09		0.0	0.0		47.2258064516129	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	72.0	hr		7.3115149779530894e-09		0.0	0.0		72.0	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	96.0	hr		1.517964851551808e-08		7.603975577071158e-09	1.8625860180409606e-08		95.2258064516129	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	120.0	hr		2.5444072123276757e-08		8.18889677530742e-09	2.005861865582578e-08		120.0	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	144.0	hr		3.331220566084162e-08		9.358739171779965e-09	2.292413560665807e-08		143.225806451613	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	168.0	hr		4.416155046683648e-08		8.160594136683186e-09	1.9989291632821982e-08		168.0	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	192.0	hr		5.5539211193819e-08		9.943660370015979e-09	2.4356894082073704e-08		191.225806451613	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	216.0	hr		6.636025336118962e-08		9.358739171779778e-09	2.2924135606657653e-08		215.225806451613	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	feces	HPLC MS/MS	tm_feces_TIRC14	240.0	hr		7.545483457247585e-08		1.1670121326100654e-08	2.858584248531877e-08		240.0	mole	mg
