study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_se	mean_sd	comments	timeraw	mean_unit	value_unit
Martin2024		all	6.0	TIR	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_plasma_TIR	8.0	hr		8.152420789339168e-05	539.688118723096	3.0594851316849784e-05	7.494177448259996e-05		8.59090909090911	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_plasma_TIR	24.0	hr		9.809429056920134e-05	610.540229658534	2.8744144046109636e-05	7.04084860060278e-05		24.3409090909091	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_plasma_TIR	48.0	hr		8.494615595824413e-05	486.967525165864	1.6220312032039083e-05	3.9731487947222276e-05		47.9659090909091	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_plasma_TIR	72.0	hr		7.356034046641932e-05	384.43367967577	6.304939124984237e-06	1.544388371552124e-05		73.0227272727273	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_plasma_TIR	96.0	hr		6.845319615931934e-05	361.439584467479	6.635109041311911e-06	1.625263153894145e-05		95.9318181818182	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_plasma_TIR	120.0	hr		6.240439242710303e-05	336.345571790684	7.470684993400473e-06	1.829936626289868e-05		119.556818181818	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_plasma_TIR	144.0	hr		5.133265541017242e-05	285.336377184469	7.945370283766559e-06	1.9462103012700455e-05		143.897727272727	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_plasma_TIR	168.0	hr		4.399764638837509e-05					167.522727272727	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_plasma_TIR	240.0	hr		3.070290331165733e-05	174.209337256139	5.488716109224483e-06	1.3444553810594162e-05		239.113636363636	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_plasma_TIR	288.0	hr		2.6587618891468975e-05	144.781904686087	3.490513979934256e-06	8.549978190890255e-06		287.079545454545	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_plasma_TIR	336.0	hr		2.1646801298173877e-05	120.325352559669	3.3505348671097097e-06	8.20710078982264e-06		334.329545454545	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_plasma_TIR	528.0	hr		7.986527959140336e-06	55.0898295397828	3.458266998856743e-06	8.470989541505159e-06		525.477272727273	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_plasma_TIR	696.0	hr		3.2656163309339494e-06	20.1173804228079	9.137266794631878e-07	2.238164129052418e-06		693.0	mole/meter^3	ng/ml
Martin2024		all	6.0	TIR	concentration	tirzepatide	plasma	HPLC MS/MS	tirzepatide_plasma_TIR	864.0	hr		9.12838041785325e-07	7.27121762059389	5.977419592396801e-07	1.4641627979887159e-06		859.806818181818	mole/meter^3	ng/ml
