study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_se	mean_sd	comments	timeraw	mean_unit	value_unit
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	tm_urine_TIRC14	216.0	hr		6.858672759963764e-09		0.0	0.0		216.0	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	tm_urine_TIRC14	240.0	hr		1.1405963365606842e-08		0.0	0.0		239.225806451613	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	tm_urine_TIRC14	264.0	hr		2.6293151282006727e-08		0.0	0.0		263.225806451613	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	tm_urine_TIRC14	288.0	hr		4.591631406154531e-08		0.0	0.0		287.225806451613	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	tm_urine_TIRC14	312.0	hr		7.074716234796128e-08		5.849211982362663e-09	1.4327584754161804e-08		311.225806451613	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	tm_urine_TIRC14	336.0	hr		9.56063132730017e-08		5.264290784126276e-09	1.2894826278745316e-08		335.225806451613	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	tm_urine_TIRC14	360.0	hr		1.204654641980421e-07		7.019054378834833e-09	1.719310170499328e-08		359.225806451613	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	tm_urine_TIRC14	384.0	hr		1.4593783895994349e-07		6.9907517402101626e-09	1.7123774681988448e-08		383.225806451613	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	tm_urine_TIRC14	408.0	hr		1.6842900245341431e-07		8.773817973543993e-09	2.149137713124264e-08		407.225806451613	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	tm_urine_TIRC14	432.0	hr		1.921466136206067e-07		8.745515334919322e-09	2.1422050108237888e-08		431.225806451613	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	tm_urine_TIRC14	456.0	hr		2.1405285591584092e-07		9.943660370016229e-09	2.435689408207433e-08		455.225806451613	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	tm_urine_TIRC14	480.0	hr		2.3364771605675632e-07		1.1698423964724722e-08	2.865516950832207e-08		479.225806451613	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	tm_urine_TIRC14	504.0	hr		2.5207273380119816e-07		1.228334516296111e-08	3.008792798373853e-08		502.451612903226	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	tm_urine_TIRC14	528.0	hr		2.6757314555445933e-07		1.3453187559433281e-08	3.295344493457002e-08		526.451612903226	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	tm_urine_TIRC14	552.0	hr		2.8365847850595414e-07		1.4623029955906055e-08	3.5818961885402946e-08		551.225806451613	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	tm_urine_TIRC14	576.0	hr		2.9740412666450607e-07		1.637779355061461e-08	4.01172373116509e-08		574.451612903226	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	tm_urine_TIRC14	600.0	hr		3.11149774823058e-07		1.7547635947087323e-08	4.2982754262483833e-08		598.451612903226	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	tm_urine_TIRC14	624.0	hr		3.2255573818866504e-07		1.8717478343560158e-08	4.584827121331697e-08		622.451612903226	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	tm_urine_TIRC14	648.0	hr		3.333767803560362e-07		1.988732074003233e-08	4.871378816414824e-08		646.451612903226	mole	mg
Martin2024		all	6.0	TIRC14	cumulative amount	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	tm_urine_TIRC14	672.0	hr		3.441978225234054e-07		1.985901810140766e-08	4.864446114114349e-08		670.451612903226	mole	mg
