study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_se	mean_sd	comments	timeraw	mean_unit	value_unit
Martin2024		all	6.0	TIRC14	concentration	tirzepatide_and_metabolites_c14	plasma	HPLC MS/MS	tir_and_tm_plasma_TIRC14	8.0	hr		5.8671804423641334e-05	350.4635510787	1.413625317709509e-05	3.4626607158680534e-05		7.875	mole/meter^3	ng/ml
Martin2024		all	6.0	TIRC14	concentration	tirzepatide_and_metabolites_c14	plasma	HPLC MS/MS	tir_and_tm_plasma_TIRC14	24.0	hr		6.987507742050351e-05	388.405806933957	1.081540316347514e-05	2.6492219112997186e-05		24.3409090909091	mole/meter^3	ng/ml
Martin2024		all	6.0	TIRC14	concentration	tirzepatide_and_metabolites_c14	plasma	HPLC MS/MS	tir_and_tm_plasma_TIRC14	48.0	hr		5.989051069231106e-05	322.796317377376	7.169737931489322e-06	1.7562199521626575e-05		48.6818181818182	mole/meter^3	ng/ml
Martin2024		all	6.0	TIRC14	concentration	tirzepatide_and_metabolites_c14	plasma	HPLC MS/MS	tir_and_tm_plasma_TIRC14	72.0	hr		5.133265541017242e-05	265.526054868037	3.829817942119365e-06	9.381099765948358e-06		71.5909090909091	mole/meter^3	ng/ml
Martin2024		all	6.0	TIRC14	concentration	tirzepatide_and_metabolites_c14	plasma	HPLC MS/MS	tir_and_tm_plasma_TIRC14	96.0	hr		5.239891593429267e-05	276.671411481766	5.078981557871806e-06	1.2440913229791918e-05		95.9318181818182	mole/meter^3	ng/ml
Martin2024		all	6.0	TIRC14	concentration	tirzepatide_and_metabolites_c14	plasma	HPLC MS/MS	tir_and_tm_plasma_TIRC14	120.0	hr		4.9773808609961466e-05					119.556818181818	mole/meter^3	ng/ml
Martin2024		all	6.0	TIRC14	concentration	tirzepatide_and_metabolites_c14	plasma	HPLC MS/MS	tir_and_tm_plasma_TIRC14	144.0	hr		4.266154581572203e-05	225.257142946065	4.135146702272574e-06	1.0128999432120356e-05		143.897727272727	mole/meter^3	ng/ml
Martin2024		all	6.0	TIRC14	concentration	tirzepatide_and_metabolites_c14	plasma	HPLC MS/MS	tir_and_tm_plasma_TIRC14	168.0	hr		4.094297959573344e-05	225.257142946065	5.853712922261161e-06	1.4338609760276051e-05		167.522727272727	mole/meter^3	ng/ml
Martin2024		all	6.0	TIRC14	concentration	tirzepatide_and_metabolites_c14	plasma	HPLC MS/MS	tir_and_tm_plasma_TIRC14	240.0	hr		2.9770531467611173e-05	160.456436470927	3.563952055785913e-06	8.72986400441861e-06		239.113636363636	mole/meter^3	ng/ml
Martin2024		all	6.0	TIRC14	concentration	tirzepatide_and_metabolites_c14	plasma	HPLC MS/MS	tir_and_tm_plasma_TIRC14	288.0	hr		2.4741694775295122e-05	137.528547786516	3.829568621901154e-06	9.380489058631188e-06		287.079545454545	mole/meter^3	ng/ml
Martin2024		all	6.0	TIRC14	concentration	tirzepatide_and_metabolites_c14	plasma	HPLC MS/MS	tir_and_tm_plasma_TIRC14	336.0	hr		2.056232892650435e-05	115.478198468946	3.428021282177559e-06	8.396902968736375e-06		334.329545454545	mole/meter^3	ng/ml
Martin2024		all	6.0	TIRC14	concentration	tirzepatide_and_metabolites_c14	plasma	HPLC MS/MS	tir_and_tm_plasma_TIRC14	528.0	hr		9.809429056920134e-06	54.5264398847948	1.5183228981005403e-06	3.719116365130101e-06		525.477272727273	mole/meter^3	ng/ml
Martin2024		all	6.0	TIRC14	concentration	tirzepatide_and_metabolites_c14	plasma	HPLC MS/MS	tir_and_tm_plasma_TIRC14	696.0	hr		5.7477897492164485e-06	32.6131581998776	1.027524526547997e-06	2.5169107882374608e-06		692.284090909091	mole/meter^3	ng/ml
Martin2024		all	6.0	TIRC14	concentration	tirzepatide_and_metabolites_c14	plasma	HPLC MS/MS	tir_and_tm_plasma_TIRC14	864.0	hr		2.658761889146877e-06	15.2417808970615	5.076856860015535e-07	1.2435708804186474e-06		859.806818181818	mole/meter^3	ng/ml
