study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_se	mean_sd	comments	timeraw	mean_unit	value_unit
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	recovery_urine_TIRC14	12.0	hr		1.13842781083621					11.6129032258065	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	recovery_urine_TIRC14	24.0	hr		1.89320388349515					24.0	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	recovery_urine_TIRC14	48.0	hr		4.3642342624491					47.2258064516129	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	recovery_urine_TIRC14	72.0	hr		7.62135922330097					72.0	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	recovery_urine_TIRC14	96.0	hr		11.7428750391481	12.7137488255559	0.9708737864078	2.37814538134297		95.2258064516129	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	recovery_urine_TIRC14	120.0	hr		15.8690886313811	16.7428750391481	0.873786407767	2.14033084320863		119.225806451613	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	recovery_urine_TIRC14	144.0	hr		19.9953022236141	21.1603507673034	1.1650485436893	2.85377445761142		143.225806451613	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	recovery_urine_TIRC14	168.0	hr		24.2233009708738	25.3836517381772	1.1603507673034	2.84226730254027		168.0	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	recovery_urine_TIRC14	192.0	hr		27.9564672721578	29.4127779517695	1.4563106796117	3.56721807201446		191.225806451613	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	recovery_urine_TIRC14	216.0	hr		31.8932038834951	33.3448167867209	1.4516129032258	3.55571091694331		216.0	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	recovery_urine_TIRC14	240.0	hr		35.5292828061384	37.1797682430316	1.65048543689321	4.04284714828293		239.225806451613	percent	percent
Martin2024		all	6.0	TIRC14	recovery	tirzepatide_and_metabolites_c14	urine	HPLC MS/MS	recovery_urine_TIRC14	264.0	hr		38.7817099906044	40.7234575634199	1.9417475728155	4.7562907626857		263.225806451613	percent	percent
